value;label
KNCR11;Fii Kinea Ri CI ER
KNHY11;Fii Kinea Hy CI ER
KNIP11;Fii Kinea Ip CI ER
KNOX11;Fip Ie Knox CI
KNRE11;Fii Kii Real CI
KNRI11;Fii Kinea CI ER
KRSA3;Kora Saude ON NM
LAME3;Lojas Americ ON N1
LAME4;Lojas Americ PN N1
LAND3;Terrasantapa ON NM
LAVV3;Lavvi ON NM
LCAM3;Locamerica ON NM
LEVE3;Metal Leve ON NM
LIGT3;Light S/A ON NM
LIPR3;Eletropar ON
LJQQ3;Quero-Quero ON NM
LLIS3;Le Lis Blanc ON NM
LOGG3;Log Com Prop ON NM
LOGN3;Log-In ON NM
LPSB3;Lopes Brasil ON NM
LREN3;Lojas Renner ON EB NM
LUGG11;Fii Luggo CI ER
LUPA3;Lupatech ON NM
LUXM3;Trevisa ON
LUXM4;Trevisa PN
LVTC3;Wdc Networks ON NM
LWSA3;Locaweb ON NM
MALL11;Fii Malls Bp CI ER
MAPT3;Cemepe ON
MAPT4;Cemepe PN
MATD3;Mater Dei ON NM
MBLY3;Mobly ON NM
MBRF11;Fii Merc Br CI ER
MDIA3;M.Diasbranco ON NM
MDNE3;Moura Dubeux ON NM
MEAL3;Imc S/A ON NM
MELK3;Melnick ON NM
MERC3;Merc Financ ON
MERC4;Merc Financ PN
MGEL3;Mangels Indl ON
MGEL4;Mangels Indl PN
MGLU3;Magaz Luiza ON NM
MILS3;Mills ON NM
MLAS3;Multilaser ON NM
MMXM3;Mmx Miner ON NM
MNDL3;Mundial ON
MNPR3;Minupar ON
MOAR3;Mont Aranha ON ED
MODL3;Modalmais ON N2
MODL4;Modalmais PN N2
MOSI3;Mosaico ON NM
MOVI3;Movida ON NM
MRFG3;Marfrig ON NM
MRVE3;Mrv ON NM
MSPA3;Melhor Sp ON
MSPA4;Melhor Sp PN
MTIG3;Metal Iguacu ON
MTIG4;Metal Iguacu PN
MTRE3;Mitre Realty ON NM
MTSA3;Metisa ON
MTSA4;Metisa PN
MULT3;Multiplan ON N2
MWET3;Wetzel S/A ON
